0.000 3373	1.008 3.369 5.683	1.004 1.189 1.618	1.008 1.138 1.526
0.050 6651	1.030 3.288 5.645	1.020 1.210 1.683	1.028 1.196 1.651
0.100 9913	1.051 3.329 5.686	1.038 1.289 1.710	1.048 1.271 1.650
0.150 19517	1.090 3.491 5.281	1.062 1.372 1.797	1.078 1.389 1.767
0.200 24810	1.131 3.210 4.856	1.097 1.499 1.835	1.121 1.532 1.866
0.250 29877	1.158 3.224 4.817	1.125 1.552 1.891	1.152 1.606 2.037
0.300 39997	1.192 3.152 4.819	1.147 1.671 2.058	1.182 1.727 2.109
0.350 49728	1.235 3.104 4.633	1.173 1.740 2.277	1.221 1.815 2.353
0.400 61395	1.271 3.004 4.294	1.197 1.807 2.319	1.257 1.890 2.478
0.450 73252	1.314 3.115 4.230	1.229 1.964 2.544	1.295 2.054 2.648
0.500 114128	1.350 3.162 4.548	1.283 2.029 2.733	1.346 2.166 2.889
0.550 199234	1.496 3.414 4.700	1.366 2.267 3.055	1.476 2.469 3.383
0.600 585199	1.671 3.677 4.930	1.603 2.914 3.998	1.749 3.134 4.245
0.650 990524	1.820 3.831 4.974	1.809 3.277 4.536	1.934 3.638 4.869
0.700 1484852	1.847 3.880 5.334	1.842 3.430 5.099	1.978 3.750 5.533
0.750 1993463	1.888 3.937 5.466	1.849 3.574 5.091	2.013 4.016 5.663
0.800 3467778	1.861 3.880 5.284	1.823 3.822 5.666	2.018 4.288 6.026
0.850 5004250	1.865 3.837 5.292	1.864 4.014 6.154	2.051 4.443 6.594
0.900 8571516	1.874 3.739 5.176	1.865 3.947 5.739	2.080 4.350 6.588
0.950 29983170	1.879 3.510 4.678	1.932 3.948 5.624	2.134 4.302 5.785
