0.000 3380	1.008 1.079 1.148	1.012 1.092 1.173
0.050 6719	1.030 1.207 1.342	1.039 1.237 1.403
0.100 10228	1.051 1.326 1.567	1.063 1.369 1.611
0.150 20218	1.167 1.607 1.991	1.180 1.685 2.145
0.200 25169	1.242 1.822 2.335	1.257 1.918 2.455
0.250 30286	1.293 1.981 2.579	1.308 2.106 2.746
0.300 40337	1.351 2.193 2.809	1.372 2.320 3.055
0.350 50501	1.425 2.410 3.337	1.452 2.598 3.598
0.400 61898	1.496 2.680 3.619	1.527 2.927 3.935
0.450 73266	1.572 2.912 4.109	1.610 3.079 4.389
0.500 115163	1.655 3.159 4.309	1.689 3.471 4.903
0.550 214589	1.885 3.927 5.500	1.875 4.330 6.374
0.600 613299	2.259 5.206 7.683	2.445 6.001 9.102
0.650 1011526	2.459 5.697 8.263	2.812 7.034 11.341
0.700 1501363	2.620 6.464 8.882	2.983 8.019 12.227
0.750 1992339	2.644 6.496 8.646	3.223 8.596 14.396
0.800 3489161	2.924 7.492 10.500	3.367 9.521 15.050
0.850 5064406	2.980 7.252 9.900	3.620 10.731 16.104
0.900 8622017	3.330 8.093 11.328	3.945 10.655 15.482
0.950 29995296	3.359 7.178 9.659	4.024 9.490 13.421
