0.000 3297	1.000 1.069 1.111	1.000 1.074 1.130	1.000 1.091 1.152
0.050 6743	1.016 1.162 1.383	1.019 1.164 1.374	1.021 1.174 1.380
0.100 9976	1.037 1.346 1.850	1.033 1.371 1.826	1.042 1.380 1.985
0.150 21375	1.078 1.872 1.959	1.082 1.839 1.985	1.108 1.899 2.087
0.200 26386	1.000 1.655 2.451	1.000 1.656 2.213	1.004 1.708 2.501
0.250 31408	1.150 1.945 2.107	1.144 1.922 2.085	1.163 1.980 2.170
0.300 40921	1.000 2.071 3.398	1.000 2.052 3.318	1.006 2.209 3.863
0.350 48528	1.219 2.235 2.586	1.218 2.229 2.568	1.242 2.306 2.641
0.400 59273	1.253 2.427 4.085	1.246 2.394 4.073	1.274 2.499 4.226
0.450 68311	1.287 2.556 2.891	1.282 2.671 3.197	1.313 2.770 3.315
0.500 96870	1.320 2.526 3.235	1.315 2.504 3.209	1.347 2.601 3.872
0.550 188964	1.429 3.329 4.316	1.417 3.267 4.280	1.567 3.893 4.458
0.600 650565	1.589 4.523 5.236	1.597 4.413 5.163	1.707 5.006 5.444
0.650 1079183	1.572 3.568 5.733	1.589 3.488 5.773	1.881 4.076 6.447
0.700 1585409	1.473 4.618 6.118	1.499 4.565 6.066	1.957 4.779 6.425
0.750 2104657	1.888 4.017 5.847	1.865 3.877 5.711	1.996 4.997 6.330
0.800 3330250	1.945 4.828 5.870	1.923 4.770 5.800	2.025 5.153 6.126
0.850 4860126	1.891 4.796 5.489	1.835 4.732 5.422	2.051 5.141 5.802
0.900 8656808	1.551 4.260 4.833	1.548 4.197 4.860	1.759 4.450 5.239
0.950 29335090	1.802 3.717 4.100	1.824 3.566 4.035	1.959 4.132 4.691
